,Benchmark,Mean,Median,Best,Worst,STD
0,F1,25.81155846118927,25.817127108573914,25.78216314315796,25.827659606933594,0.014796034541429822
1,F2,25.910456800460814,25.916900515556335,25.787918090820312,26.003193855285645,0.059792224840184954
2,F3,168.6641541004181,168.40070641040802,168.1991581916809,170.39206171035767,0.6243454393737671
3,F4,26.038940334320067,26.245800375938416,25.654932975769043,26.267223834991455,0.26776978389022443
4,F5,33.82004024982452,33.82403290271759,33.7493371963501,33.89765453338623,0.03597005776659633
5,F6,28.288093543052675,28.294360876083374,28.154385089874268,28.42152428627014,0.08947702180695316
6,F7,26.11570761203766,26.08181667327881,26.00999402999878,26.250774383544922,0.09031640962577324
7,F8,26.132176756858826,26.185096263885498,25.926454305648804,26.265439987182617,0.1254688199237462
8,F9,30.695706486701965,30.752256155014038,30.31605291366577,31.01436710357666,0.2535513551477872
9,F10,29.34905617237091,29.37032961845398,29.261388540267944,29.416592359542847,0.05023955142806203
10,F11,29.41770145893097,29.4246746301651,29.291389226913452,29.544515132904053,0.07108924595650934
11,F12,31.897431325912475,31.884977221488953,31.859654426574707,31.969053745269775,0.03839750209362852
12,F13,31.085752511024474,31.098124504089355,31.003458976745605,31.142735242843628,0.046904173761403385
